Año,Compañía, Rank, I.E. Score, B-I-I Score, Wghtd Avg Score, Bonus Points, Overall Score, Change
11,A,1,115,99,107,0,107,7
11,B,4,82,60,71,0,71,-29
11,C,2,115,95,105,0,105,5
11,D,5,69,53,61,0,61,-39
11,E,3,104,74,89,0,89,-11
12,A,1,118,97,108,0,108,1
12,B,4,111,81,96,1,97,26
12,C,2,117,97,107,1,108,3
12,D,5,97,66,82,0,82,21
12,E,3,113,83,98,0,98,9
13,A,1,118,100,109,1,110,2
13,B,4,108,81,95,2,97,0
13,C,2,116,94,105,2,107,-1
13,D,5,82,61,72,0,72,-10
13,E,3,113,87,100,1,101,3
14,A,1,119,100,110,1,111,1
14,B,4,95,66,81,2,83,-14
14,C,3,103,73,88,2,90,-17
14,D,5,97,65,81,2,83,11
14,E,2,111,76,94,2,96,-5
15,A,1,119,100,110,1,111,0
15,B,5,81,55,68,2,70,-13
15,C,4,91,63,77,2,79,-11
15,D,3,107,69,88,3,91,8
15,E,2,111,73,92,2,94,-2
16,A,1,118,100,109,1,110,-1
16,B,5,57,37,47,2,49,-21
16,C,4,83,57,70,2,72,-7
16,D,3,94,63,79,3,82,-9
16,E,2,109,72,91,2,93,-1
17,A,1,117,100,109,1,110,0
17,B,5,29,23,26,2,28,-21
17,C,4,62,48,55,2,57,-15
17,D,3,74,56,65,3,68,-14
17,E,2,77,59,68,2,70,-23
18,A,1,106,97,102,1,103,-7
18,B,5,22,19,21,2,23,-5
18,C,4,52,41,47,2,49,-8
18,D,2,80,67,74,4,78,10
18,E,3,62,50,56,2,58,-12
19,A,1,115,99,107,2,109,6
19,B,5,24,20,22,3,25,2
19,C,4,54,45,50,2,52,3
19,D,2,85,66,76,5,81,3
19,E,3,56,45,51,2,53,-5
20,A,1,115,99,107,2,109,0
20,B,5,26,22,24,3,27,2
20,C,4,56,45,51,2,53,1
20,D,2,94,70,82,5,87,6
20,E,3,67,54,61,3,64,11