Año,Compañía,EPS,ROE,Stock Price,Credit Rating,Image Rating
11,A,"4,02","0,322","94,82",8,73
12,A,"4,97","0,292","122,73",9,99
13,A,"5,57","0,25","123,44",9,100
14,A,"9,12","0,308","234,62",9,100
15,A,"12,37","0,306","321,75",9,100
16,A,"16,29","0,306","428,01",9,100
17,A,"12,3","0,198","259,21",9,100
18,A,"9,67","0,145","160,18",8,100
19,A,"15,29","0,216","313,51",9,100
20,A,"18,43","0,276","489,21",9,100
11,B ,"2,01","0,175","19,73",6,68
12,B ,"4,36","0,297","101,03",8,86
13,B ,"4,86","0,252","92,85",6,84
14,B ,"5,09","0,21","65,76",5,70
15,B ,"4,63","0,159","44,69",4,71
16,B ,"2,42","0,074","18,22",1,73
17,B ,"-15,67","-0,602","7,77",1,79
18,B ,"-5,04","-0,321","4,96",1,77
19,B ,"2,06","0,145","11,23",1,76
20,B ,"3,37","0,199","17,74",1,74
11,C,"3,77","0,305","85,35",8,72
12,C,"5,46","0,321","131,31",9,78
13,C,"5,37","0,239","105,18",9,79
14,C,"4,11","0,151","56,03",9,78
15,C,"3,46","0,112","29,98",9,70
16,C,"3,33","0,097","26,66",9,69
17,C,"-1,05","-0,029","1,11",5,79
18,C,"-3,09","-0,092","5,02",4,83
19,C,"-3,45","-0,114","4,91",8,83
20,C,"1,15","0,004","6,07",9,76
11,D,"1,62","0,143","11,71",5,72
12,D,"3,27","0,237","44,81",8,70
13,D,"2,46","0,148","22,88",8,71
14,D,"0,39","0,197","76,75",9,94
15,D,"6,19","0,249","127,75",9,97
16,D,"5,56","0,181","92,49",7,97
17,D,"2,48","0,071","38,51",5,97
18,D,"5,02","0,013","64,51",8,100
19,D,"6,18","0,014","9,35",9,100
20,D,"10,67","0,202","203,63",9,100
11,E,"2,77","0,233","39,77",8,68
12,E,"4,74","0,303","100,06",9,63
13,E,"5,13","0,249","100,19",9,71
14,E,"0,57","0,219","103,53",9,76
15,E,"0,06","0,188","117,12",9,98
16,E,"7,59","0,196","140,66",9,96
17,E,"0,53","0,012","60,57",4,100
18,E,"-1,59","-0,038","24,99",3,99
19,E,"0,02",0,"9,71",3,100
20,E,"3,41","0,079","27,77",8,100