Año,Compañía, Rank, I.E. Score, B-I-I Score, Wghtd Avg Score, Change
11,A,1,115,99,107,7
11,B,4,82,60,71,-29
11,C,2,115,95,105,5
11,D,5,69,53,61,-39
11,E,3,104,74,89,-11
12,A,1,119,95,107,0
12,B,3,117,86,102,31
12,C,2,117,96,107,2
12,D,5,102,67,85,24
12,E,4,114,84,99,10
13,A,1,117,100,109,2
13,B,4,111,85,98,-4
13,C,2,113,91,102,-5
13,D,5,77,58,68,-17
13,E,3,113,88,101,2
14,A,1,119,100,110,1
14,B,5,91,59,75,-23
14,C,4,91,60,76,-26
14,D,3,102,68,85,17
14,E,2,109,71,90,-11
15,A,1,118,100,109,-1
15,B,5,73,45,59,-16
15,C,4,73,49,61,-15
15,D,2,114,73,94,9
15,E,3,107,69,88,-2
16,A,1,118,100,109,0
16,B,5,37,25,31,-28
16,C,4,66,45,56,-5
16,D,3,93,60,77,-17
16,E,2,106,68,87,-1
17,A,1,111,95,103,-6
17,B,5,21,18,20,-11
17,C,4,35,31,33,-23
17,D,2,55,45,50,-27
17,E,3,46,38,42,-45
18,A,1,96,87,92,-11
18,B,5,20,17,19,-1
18,C,4,32,29,31,-2
18,D,2,74,65,70,20
18,E,3,33,31,32,-10
19,A,1,111,95,103,11
19,B,4,35,30,33,14
19,C,3,40,36,38,7
19,D,2,82,64,73,3
19,E,5,33,29,31,-1
20,A,1,114,98,106,3
20,B,5,40,34,37,4
20,C,4,48,39,44,6
20,D,2,98,73,86,13
20,E,3,58,49,54,23